eutardigrade_otu_001	eutardigrade_otu_002	eutardigrade_otu_003	eutardigrade_otu_004	eutardigrade_otu_005	eutardigrade_otu_006	eutardigrade_otu_007	eutardigrade_otu_008	eutardigrade_otu_009	eutardigrade_otu_010	eutardigrade_otu_011	eutardigrade_otu_012	eutardigrade_otu_013	eutardigrade_otu_014	eutardigrade_otu_015	eutardigrade_otu_016	eutardigrade_otu_017	eutardigrade_otu_018	eutardigrade_otu_019	eutardigrade_otu_020	eutardigrade_otu_021	eutardigrade_otu_022	eutardigrade_otu_023	eutardigrade_otu_024	eutardigrade_otu_025	eutardigrade_otu_026	eutardigrade_otu_027	eutardigrade_otu_028	eutardigrade_otu_029	eutardigrade_otu_030	eutardigrade_otu_031	eutardigrade_otu_032	eutardigrade_otu_033	eutardigrade_otu_034	eutardigrade_otu_035	eutardigrade_otu_036	eutardigrade_otu_037	eutardigrade_otu_038	eutardigrade_otu_039	eutardigrade_otu_040	eutardigrade_otu_041	eutardigrade_otu_042	eutardigrade_otu_043	eutardigrade_otu_044	eutardigrade_otu_045	eutardigrade_otu_046	eutardigrade_otu_047	eutardigrade_otu_048	eutardigrade_otu_049	eutardigrade_otu_050	eutardigrade_otu_051	eutardigrade_otu_052	eutardigrade_otu_053	eutardigrade_otu_054	eutardigrade_otu_055	eutardigrade_otu_056	eutardigrade_otu_057	eutardigrade_otu_058	eutardigrade_otu_059	eutardigrade_otu_060	eutardigrade_otu_061	eutardigrade_otu_062	eutardigrade_otu_063	eutardigrade_otu_064	eutardigrade_otu_065	eutardigrade_otu_066	eutardigrade_otu_067	eutardigrade_otu_068	eutardigrade_otu_069	eutardigrade_otu_070	eutardigrade_otu_071	eutardigrade_otu_072	eutardigrade_otu_073	eutardigrade_otu_074	eutardigrade_otu_075	eutardigrade_otu_076	eutardigrade_otu_077	eutardigrade_otu_078	eutardigrade_otu_079	eutardigrade_otu_080	eutardigrade_otu_081	eutardigrade_otu_082	eutardigrade_otu_083	eutardigrade_otu_084	eutardigrade_otu_085	eutardigrade_otu_086	eutardigrade_otu_087	eutardigrade_otu_088	eutardigrade_otu_089	eutardigrade_otu_090	eutardigrade_otu_091	eutardigrade_otu_092	eutardigrade_otu_093	eutardigrade_otu_094	eutardigrade_otu_095	eutardigrade_otu_096	eutardigrade_otu_097	eutardigrade_otu_098	eutardigrade_otu_099	eutardigrade_otu_100	eutardigrade_otu_101	eutardigrade_otu_102	eutardigrade_otu_103	eutardigrade_otu_104	eutardigrade_otu_105	eutardigrade_otu_106	eutardigrade_otu_107	eutardigrade_otu_108	eutardigrade_otu_109	eutardigrade_otu_110	eutardigrade_otu_111	eutardigrade_otu_112	eutardigrade_otu_113	eutardigrade_otu_114	eutardigrade_otu_115	eutardigrade_otu_116	eutardigrade_otu_117	eutardigrade_otu_118	eutardigrade_otu_119	eutardigrade_otu_120	eutardigrade_otu_121	eutardigrade_otu_122	eutardigrade_otu_123	eutardigrade_otu_124	eutardigrade_otu_125	eutardigrade_otu_126	eutardigrade_otu_127	eutardigrade_otu_128	eutardigrade_otu_129	eutardigrade_otu_130	eutardigrade_otu_131	eutardigrade_otu_132	eutardigrade_otu_133	eutardigrade_otu_134	eutardigrade_otu_135	eutardigrade_otu_136	eutardigrade_otu_137	eutardigrade_otu_138	eutardigrade_otu_139	eutardigrade_otu_140	eutardigrade_otu_141	eutardigrade_otu_142	eutardigrade_otu_143	eutardigrade_otu_144	eutardigrade_otu_145	eutardigrade_otu_146	eutardigrade_otu_147	eutardigrade_otu_148	eutardigrade_otu_149	eutardigrade_otu_150	eutardigrade_otu_151	eutardigrade_otu_152	eutardigrade_otu_153	eutardigrade_otu_154	eutardigrade_otu_155	eutardigrade_otu_156	eutardigrade_otu_157	eutardigrade_otu_158	eutardigrade_otu_159	eutardigrade_otu_160	eutardigrade_otu_161	eutardigrade_otu_162	eutardigrade_otu_163	eutardigrade_otu_164	eutardigrade_otu_165	eutardigrade_otu_166	eutardigrade_otu_167	eutardigrade_otu_168	eutardigrade_otu_169	eutardigrade_otu_170	eutardigrade_otu_171	eutardigrade_otu_172	eutardigrade_otu_173	eutardigrade_otu_174	eutardigrade_otu_175	eutardigrade_otu_176	eutardigrade_otu_177	eutardigrade_otu_178	eutardigrade_otu_179	eutardigrade_otu_180	eutardigrade_otu_181	eutardigrade_otu_182	eutardigrade_otu_183	eutardigrade_otu_184	eutardigrade_otu_185	eutardigrade_otu_186	eutardigrade_otu_187	eutardigrade_otu_188	eutardigrade_otu_189	eutardigrade_otu_190	eutardigrade_otu_191	eutardigrade_otu_192	eutardigrade_otu_193	eutardigrade_otu_194	eutardigrade_otu_195	eutardigrade_otu_196	eutardigrade_otu_197	eutardigrade_otu_198	eutardigrade_otu_199	eutardigrade_otu_200	eutardigrade_otu_201	eutardigrade_otu_202	eutardigrade_otu_203	eutardigrade_otu_204	eutardigrade_otu_205	eutardigrade_otu_206	eutardigrade_otu_207	eutardigrade_otu_208	eutardigrade_otu_209	eutardigrade_otu_210	eutardigrade_otu_211	eutardigrade_otu_212	eutardigrade_otu_213	eutardigrade_otu_214	eutardigrade_otu_215	eutardigrade_otu_216	eutardigrade_otu_217	eutardigrade_otu_218	eutardigrade_otu_219	eutardigrade_otu_220	eutardigrade_otu_221
0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	18	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0	0	0	0	0	0	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	0	0	12	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	26	0	10	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	103	23	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	95	32	0	0	0	0	0	0	0	0	0	0	0	178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
